ID,in_training,λ,K,γ,ζ,η,ϕ₀
1,true,1.003,1.001,1.004,1.005,1.002,1.003
2,true,1.001,1.002,1.0,1.0,1.001,1.002
3,true,1.025,1.017,1.003,1.007,1.007,1.007
4,true,1.0,1.001,1.003,1.001,1.002,1.002
5,false,1.067,1.051,1.063,1.021,1.029,1.047
6,false,1.0,1.003,1.0,1.0,1.0,1.001
7,true,1.001,1.003,1.001,1.001,1.001,1.001
8,true,1.003,1.004,1.001,1.001,1.001,1.0
9,true,1.002,1.001,1.002,1.002,1.001,1.003
10,true,1.006,1.004,1.003,1.001,1.008,1.008
11,true,1.008,1.002,1.009,1.003,1.008,1.006
12,true,1.001,1.0,1.007,1.002,1.002,1.001
13,false,1.011,1.017,1.015,1.002,1.002,1.014
14,false,1.005,1.004,1.004,1.001,1.005,1.002
15,true,1.006,1.005,1.007,1.003,1.009,1.002
16,true,1.001,1.002,1.001,1.002,1.002,1.003
17,true,1.001,1.001,1.001,1.001,1.001,1.003
18,true,1.0,1.0,1.0,1.0,1.002,1.0
19,true,1.004,1.003,1.009,1.006,1.004,1.001
20,true,1.011,1.009,1.009,1.011,1.008,1.025
21,false,1.001,1.002,1.0,1.003,1.001,1.001
22,true,1.008,1.003,1.007,1.004,1.012,1.004
23,true,1.006,1.0,1.007,1.003,1.009,1.005
24,true,1.0,1.001,1.0,0.999,1.001,1.001
25,false,1.001,1.001,1.0,1.001,1.003,1.002
26,true,1.002,1.001,1.001,1.003,1.002,1.001
27,true,1.001,1.0,1.0,1.0,1.0,1.0
28,true,1.003,1.007,1.006,1.015,1.004,1.008
29,false,1.003,1.001,1.0,1.001,1.002,1.001
30,true,1.002,1.002,1.003,1.001,0.999,1.0
31,true,1.0,1.0,1.001,1.001,1.001,1.0
32,true,1.001,1.001,1.0,1.0,1.0,1.001
33,true,1.003,1.001,1.0,1.001,0.999,1.002
34,false,1.001,1.002,1.002,1.002,1.0,1.001
35,true,1.01,1.001,1.003,1.007,1.009,1.008
36,false,0.999,1.001,1.0,1.001,1.001,1.001
37,true,1.004,1.004,1.001,1.002,1.003,1.004
38,true,1.0,1.001,1.006,1.001,1.003,1.001
39,true,1.004,1.004,1.003,1.0,1.003,1.002
40,true,1.013,1.004,1.01,1.001,1.004,1.008
41,false,1.004,1.005,1.009,1.009,1.003,1.003
42,true,1.002,1.0,1.001,1.001,1.001,1.001
43,true,1.003,1.003,1.001,1.002,1.0,1.003
44,true,1.0,1.001,1.0,1.001,1.001,1.0
45,true,1.134,1.208,1.1,1.121,1.129,1.296
46,true,1.001,1.0,1.0,1.002,1.003,1.001
47,true,1.002,1.004,1.008,1.001,1.009,1.001
48,true,1.43,1.575,1.447,1.781,1.715,1.537
49,true,1.001,1.0,1.0,1.001,1.0,0.999
50,true,1.003,1.002,1.008,1.001,1.008,1.004
51,false,1.002,1.0,1.001,1.003,1.0,1.0
